Audio File,Chunk Name,Mean Pitch,Mean Intensity,Speech Rate,MFCC_1,MFCC_2,MFCC_3,MFCC_4,MFCC_5,MFCC_6,MFCC_7,MFCC_8,MFCC_9,MFCC_10,MFCC_11,MFCC_12,MFCC_13,Prolongation,Repetition,Block,No of Words
MP_preprocessed,A10W_chunk1.wav,261.7063202,0.042295118,0.990375,-585.6236572,9.130033493,7.720441341,5.826371193,3.863681316,2.06436491,0.425317407,-1.172783732,-2.773530006,-4.226151943,-5.231832504,-5.527071953,-5.07578373,0,0,0,4
MP_preprocessed,A10W_chunk10.wav,377.100519,0.037602074,0.999458333,-290.1841125,52.3754158,19.427948,23.32300186,-9.402347565,1.479928732,-20.77973557,12.83555508,-23.15387726,-4.623202324,-13.61192894,-0.716410995,-21.55810928,0,1,0,2
MP_preprocessed,A10W_chunk100.wav,401.2968396,0.035085007,0.999645833,-292.5046692,113.6620712,9.345697403,2.652060509,1.683972836,-4.030875683,-11.58939171,-27.60110474,-35.90318298,-19.6366272,3.923462629,8.30884552,-4.837524891,0,1,0,2
MP_preprocessed,A10W_chunk101.wav,362.1639464,0.042359029,0.999666667,-273.0272217,109.4304199,19.93032837,4.309341908,-4.902775764,-10.46378231,-9.120380402,-13.043396,-5.645819664,-5.590298176,-2.463061333,-1.362608194,-0.88565582,0,1,0,2
MP_preprocessed,A10W_chunk102.wav,410.5157827,0.045144496,0.999666667,-288.2989197,107.7084503,28.97000122,21.52801132,-4.721364975,-4.776758671,-3.855951309,-11.4181242,-6.075069427,-4.871764183,-10.12631607,-10.3901968,-7.319220543,0,1,0,3
MP_preprocessed,A10W_chunk103.wav,374.2156824,0.036591301,0.999625,-337.6199036,96.14401245,20.93777657,6.507998466,-5.201154232,-5.137168884,-6.479104996,-8.692379951,-10.41734314,-8.024404526,-5.206870079,-10.48497009,-12.71390057,0,1,0,4
MP_preprocessed,A10W_chunk104.wav,288.3196808,0.064771596,0.999770833,-233.6724548,130.8046875,-0.09040948,-45.61316681,-38.78990173,2.433496952,-25.02160263,-1.722237945,-2.976368189,5.404616356,6.140291214,-11.04281235,-15.37865067,0,0,0,5
MP_preprocessed,A10W_chunk105.wav,233.8369129,0.078894602,0.999770833,-265.5098267,137.4420166,40.79763794,18.32781601,-2.276896238,-11.13199806,-14.34501457,-12.48194122,-9.45681572,-4.599504471,0.665665984,-2.973644733,-6.364282608,0,0,0,5
MP_preprocessed,A10W_chunk106.wav,245.3467652,0.076044179,0.999645833,-140.1499786,118.6687164,1.807492018,14.21691799,-24.88327408,-19.37526321,-8.205271721,-41.32100677,-41.26051331,-12.76322937,-9.119395256,-2.8054986,-10.1877594,0,0,0,6
MP_preprocessed,A10W_chunk107.wav,281.7290232,0.03594632,0.999375,-287.4476013,80.29676056,31.30253983,6.775729179,-5.114142418,-18.1356926,-1.523921132,-2.730866432,-12.63351059,0.008508563,-5.683998108,4.556798935,-9.966351509,0,0,0,4
MP_preprocessed,A10W_chunk108.wav,332.5196333,0.029846003,0.999291667,-318.0674133,108.0975113,32.81118011,14.20866585,-3.689419985,-24.8666687,-21.30230522,-16.38713074,-18.667799,-8.290740967,-11.92912292,6.163163185,-6.935245514,0,1,0,2
MP_preprocessed,A10W_chunk109.wav,324.9538554,0.020175522,0.9989375,-251.6489868,106.2398987,20.2000103,14.49517155,-4.280931473,-14.71532822,-16.46118546,-1.129945993,-8.249364853,-0.172651172,-0.574625611,2.238424301,2.769574165,0,0,0,2
MP_preprocessed,A10W_chunk11.wav,388.7935187,0.041691821,0.999625,-258.2246399,113.9414215,20.95245743,9.906095505,-5.844584465,-4.018791676,-6.031803131,-3.600636959,-1.550314903,0.108719364,-4.150728226,-4.671929359,-13.80971909,0,0,0,3
MP_preprocessed,A10W_chunk110.wav,310.5280203,0.044335515,0.999541667,-415.2511292,91.88433838,28.06227493,1.337238669,3.96376133,-6.037797928,4.649787903,-8.218486786,-5.591768265,-3.736270428,0.081277967,-11.52546501,-9.350406647,0,0,0,5
MP_preprocessed,A10W_chunk111.wav,371.4746097,0.038257291,0.9996875,-266.6802673,85.24107361,-11.81961823,17.37415695,-9.532539368,-8.949105263,-3.004053354,-24.94960022,-3.1646595,-6.375592232,-17.53206444,-4.095805168,-3.496845245,0,0,0,4
MP_preprocessed,A10W_chunk112.wav,324.4944207,0.025520564,0.999083333,-383.7731018,93.79927063,22.86750412,5.54994297,-8.38986969,-11.35568047,8.853051186,-8.294359207,2.923367977,-5.417686462,-3.24968648,-22.71222496,-10.15077209,0,0,0,3
MP_preprocessed,A10W_chunk113.wav,375.5722131,0.030513987,0.999541667,-339.5571594,103.0982285,7.61889267,11.10342979,5.495491982,-13.22608471,-0.890624702,-4.845232487,-5.695578098,-2.853186131,1.000447869,-23.71298599,-0.924500465,0,0,0,3
MP_preprocessed,A10W_chunk114.wav,289.7799585,0.009031673,0.998708333,-375.3456726,92.91177368,20.92454147,-11.38013077,-7.429989338,-20.88118362,-11.6186552,-8.509647369,-0.878126741,-8.404020309,-12.36485672,-18.46107864,-19.79772186,0,1,0,3
MP_preprocessed,A10W_chunk115.wav,305.9577597,0.031306503,0.999145833,-276.5351563,87.69801331,35.99134827,23.05728149,-23.61668015,5.6577425,-1.609360933,-21.75875282,0.721744239,-6.747782707,-16.43494415,-2.732749939,6.270488739,0,0,0,3
MP_preprocessed,A10W_chunk116.wav,227.495807,0.031404591,1,-280.8631592,113.4248352,25.9128685,26.34809875,16.31378746,-0.67230022,0.7788679,-7.801846981,-11.51014614,-14.20118713,-4.93989706,-11.62958527,-20.88555145,0,0,0,0
MP_preprocessed,A10W_chunk12.wav,360.6676609,0.047085002,0.999708333,-208.6569366,106.1407166,7.895441055,8.59393692,1.65925765,2.518458605,-22.49062729,-5.937874794,-6.699537277,-16.08994293,-13.38651848,-10.37082672,-12.84068298,0,0,0,5
MP_preprocessed,A10W_chunk13.wav,408.6844746,0.030754011,0.999708333,-245.4742889,51.56184387,55.22397614,-22.41238213,-22.50506973,-37.15620422,-19.73440742,11.33240795,2.830294132,-16.09350204,-13.10457897,-17.99246597,-31.89455414,0,0,0,4
MP_preprocessed,A10W_chunk14.wav,365.0968008,0.025229047,0.998958333,-198.6395569,94.78432465,-8.771689415,-2.03036952,-35.63809204,-11.55220509,-5.296726227,7.88277626,-9.619548798,-0.779062212,0.237959504,-20.62477493,-24.0362587,0,0,1,2
MP_preprocessed,A10W_chunk15.wav,388.4889209,0.031929464,0.9995,-198.2135925,95.71113586,20.8125,20.27452469,-15.59518433,-7.271294594,-6.283062935,1.497731209,-14.74988937,3.309149504,-0.053598329,-10.96864891,-7.546628952,0,1,0,3
MP_preprocessed,A10W_chunk16.wav,352.1126494,0.029045349,0.99925,-246.0617981,101.2193375,20.74563217,14.70195198,-60.09094238,-21.62729836,-48.30244064,13.75296021,4.99735117,-8.977456093,-7.002265453,-13.97588158,-20.19164848,0,1,0,2
MP_preprocessed,A10W_chunk17.wav,357.7871384,0.022811356,0.999125,-255.5398102,126.4676208,27.78562737,3.570291519,-17.03292847,3.978682995,-41.87123108,2.873384476,-14.30019474,10.02880669,-22.65925598,-5.30675602,-14.59636974,0,0,0,3
MP_preprocessed,A10W_chunk18.wav,329.3237278,0.026746323,0.9989375,-414.0855103,96.97132111,14.43581486,19.24890137,-12.70336056,-5.690155029,-10.20660019,-4.336340904,-5.068418026,-8.717529297,-12.75646782,-13.76776123,-12.61270332,0,0,0,3
MP_preprocessed,A10W_chunk19.wav,370.4987328,0.027658628,0.9995,-224.0617218,108.5194473,-34.78461838,24.61658287,-13.13353348,14.61700153,-17.87345123,0.542054534,-21.56949234,-10.72543907,-8.706850052,7.898451328,-17.47989845,0,0,0,2
MP_preprocessed,A10W_chunk2.wav,272.5503972,0.049632406,0.9994375,-324.9576111,104.0297699,37.29388809,34.54898071,9.675863266,7.707605362,3.608417988,-3.385920048,-16.1169548,-13.28204727,-6.481568813,-17.81587791,-19.3682003,0,0,0,3
MP_preprocessed,A10W_chunk20.wav,298.4750932,0.013020027,0.998479167,-309.6342468,108.9465179,-2.794906378,3.975533009,-16.22554779,-8.69225502,-29.1297245,-4.899964333,-18.55399323,0.643435955,-36.45913696,4.432857037,-18.42142868,0,0,0,2
MP_preprocessed,A10W_chunk21.wav,376.9291755,0.034084862,0.999729167,-263.1040649,98.23873901,30.2794342,17.0340519,-21.80211639,-13.30370522,-40.1309166,-7.481577873,-17.65539169,-14.33456898,-12.91196632,-6.251057625,-34.58463669,0,0,0,4
MP_preprocessed,A10W_chunk22.wav,391.7527022,0.035515452,0.9995625,-252.1610565,89.42260742,-10.95657063,4.076077461,-17.26303482,18.20569611,-2.851508141,9.249314308,-22.4326973,-32.61854172,-1.090548873,-1.605131984,-3.883129358,0,0,0,6
MP_preprocessed,A10W_chunk23.wav,416.9345739,0.042411685,0.999645833,-310.5780334,75.98577881,-47.04739761,12.27531052,-5.60132885,11.64282417,-21.95427322,-3.410580635,-15.94524097,-14.25821018,-8.492105484,-5.959846497,-4.700567245,0,0,0,3
MP_preprocessed,A10W_chunk24.wav,382.1876708,0.038801023,0.9995625,-275.595459,106.7710114,24.65065193,14.40975761,-7.154092789,-8.611915588,-12.26633453,-12.33541107,-14.05283737,-17.88102722,-21.82903671,-22.10674477,-21.8325634,0,0,1,2
MP_preprocessed,A10W_chunk25.wav,400.1662025,0.037289309,0.9994375,-258.8529663,120.1589661,-0.895867229,-25.39954948,-16.02850914,16.06073761,-18.98207283,-10.57581043,-0.756860852,-5.28267765,-14.5821085,-14.38187027,-6.572043419,0,0,0,7
MP_preprocessed,A10W_chunk26.wav,378.7700018,0.035582405,0.999604167,-374.4590454,62.40317535,8.740096092,8.458547592,-24.9582901,-7.566329956,-23.39597702,-10.57794571,-11.44527245,-17.46847153,-4.287976265,-13.26006126,-16.35658646,0,0,0,7
